prompt,prompt_idx,forward_step,phase,device,requests,vram_hits,vram_cold,vram_evictions,host_hits,host_misses,host_evictions,vram_policy,vram_dtype,persist
q0,0,9,decode,pooled,258,0,258,258,150,108,108,lfu,fp16,1
q0,0,10,decode,pooled,258,0,258,258,149,109,109,lfu,fp16,1
q0,0,11,decode,pooled,258,0,258,258,182,76,76,lfu,fp16,1
q0,0,12,decode,pooled,258,0,258,258,160,98,98,lfu,fp16,1
q0,0,13,decode,pooled,258,0,258,258,191,67,67,lfu,fp16,1
q0,0,14,decode,pooled,258,0,258,258,183,75,75,lfu,fp16,1
q0,0,15,decode,pooled,258,0,258,258,191,67,67,lfu,fp16,1
q0,0,0,prefill,cuda:0,861,0,861,787,0,861,179,freq_x_recency,fp16,1
q0,0,0,prefill,cuda:1,781,0,781,707,0,781,99,freq_x_recency,fp16,1
q0,0,1,decode,cuda:0,132,0,132,132,83,49,49,freq_x_recency,fp16,1
q0,0,1,decode,cuda:1,126,0,126,126,79,47,47,freq_x_recency,fp16,1
q0,0,2,decode,cuda:0,132,0,132,132,69,63,63,freq_x_recency,fp16,1
q0,0,2,decode,cuda:1,126,0,126,126,83,43,43,freq_x_recency,fp16,1
q0,0,3,decode,cuda:0,132,0,132,132,79,53,53,freq_x_recency,fp16,1
q0,0,3,decode,cuda:1,126,0,126,126,84,42,42,freq_x_recency,fp16,1
q0,0,4,decode,cuda:0,132,0,132,132,77,55,55,freq_x_recency,fp16,1
q0,0,4,decode,cuda:1,126,0,126,126,93,33,33,freq_x_recency,fp16,1
q0,0,5,decode,cuda:0,132,0,132,132,74,58,58,freq_x_recency,fp16,1
q0,0,5,decode,cuda:1,126,0,126,126,100,26,26,freq_x_recency,fp16,1
q0,0,6,decode,cuda:0,132,0,132,132,71,61,61,freq_x_recency,fp16,1
q0,0,6,decode,cuda:1,126,0,126,126,92,34,34,freq_x_recency,fp16,1
q0,0,7,decode,cuda:0,132,0,132,132,76,56,56,freq_x_recency,fp16,1
q0,0,7,decode,cuda:1,126,0,126,126,98,28,28,freq_x_recency,fp16,1
q0,0,8,decode,cuda:0,132,0,132,132,81,51,51,freq_x_recency,fp16,1
q0,0,8,decode,cuda:1,126,0,126,126,87,39,39,freq_x_recency,fp16,1
q0,0,9,decode,cuda:0,132,0,132,132,64,68,68,freq_x_recency,fp16,1
q0,0,9,decode,cuda:1,126,0,126,126,86,40,40,freq_x_recency,fp16,1
q0,0,10,decode,cuda:0,132,0,132,132,73,59,59,freq_x_recency,fp16,1
q0,0,10,decode,cuda:1,126,0,126,126,76,50,50,freq_x_recency,fp16,1
q0,0,11,decode,cuda:0,132,0,132,132,89,43,43,freq_x_recency,fp16,1
q0,0,11,decode,cuda:1,126,0,126,126,93,33,33,freq_x_recency,fp16,1
q0,0,12,decode,cuda:0,132,0,132,132,62,70,70,freq_x_recency,fp16,1
q0,0,12,decode,cuda:1,126,0,126,126,98,28,28,freq_x_recency,fp16,1
q0,0,13,decode,cuda:0,132,0,132,132,87,45,45,freq_x_recency,fp16,1
q0,0,13,decode,cuda:1,126,0,126,126,104,22,22,freq_x_recency,fp16,1
q0,0,14,decode,cuda:0,132,0,132,132,76,56,56,freq_x_recency,fp16,1
q0,0,14,decode,cuda:1,126,0,126,126,107,19,19,freq_x_recency,fp16,1
q0,0,15,decode,cuda:0,132,0,132,132,86,46,46,freq_x_recency,fp16,1
q0,0,15,decode,cuda:1,126,0,126,126,105,21,21,freq_x_recency,fp16,1
q0,0,0,prefill,pooled,1642,0,1642,1494,0,1642,278,freq_x_recency,fp16,1
q0,0,1,decode,pooled,258,0,258,258,162,96,96,freq_x_recency,fp16,1
q0,0,2,decode,pooled,258,0,258,258,152,106,106,freq_x_recency,fp16,1
q0,0,3,decode,pooled,258,0,258,258,163,95,95,freq_x_recency,fp16,1
q0,0,4,decode,pooled,258,0,258,258,170,88,88,freq_x_recency,fp16,1
q0,0,5,decode,pooled,258,0,258,258,174,84,84,freq_x_recency,fp16,1
q0,0,6,decode,pooled,258,0,258,258,163,95,95,freq_x_recency,fp16,1
q0,0,7,decode,pooled,258,0,258,258,174,84,84,freq_x_recency,fp16,1
q0,0,8,decode,pooled,258,0,258,258,168,90,90,freq_x_recency,fp16,1
q0,0,9,decode,pooled,258,0,258,258,150,108,108,freq_x_recency,fp16,1
q0,0,10,decode,pooled,258,0,258,258,149,109,109,freq_x_recency,fp16,1
q0,0,11,decode,pooled,258,0,258,258,182,76,76,freq_x_recency,fp16,1
q0,0,12,decode,pooled,258,0,258,258,160,98,98,freq_x_recency,fp16,1
q0,0,13,decode,pooled,258,0,258,258,191,67,67,freq_x_recency,fp16,1
q0,0,14,decode,pooled,258,0,258,258,183,75,75,freq_x_recency,fp16,1
q0,0,15,decode,pooled,258,0,258,258,191,67,67,freq_x_recency,fp16,1
q0,0,0,prefill,cuda:0,861,0,861,816,0,861,179,segmented,fp16,1
q0,0,0,prefill,cuda:1,781,0,781,737,0,781,99,segmented,fp16,1
q0,0,1,decode,cuda:0,132,0,132,162,83,49,49,segmented,fp16,1
q0,0,1,decode,cuda:1,126,0,126,155,79,47,47,segmented,fp16,1
q0,0,2,decode,cuda:0,132,0,132,132,69,63,63,segmented,fp16,1
q0,0,2,decode,cuda:1,126,0,126,126,83,43,43,segmented,fp16,1
q0,0,3,decode,cuda:0,132,0,132,132,79,53,53,segmented,fp16,1
q0,0,3,decode,cuda:1,126,0,126,126,84,42,42,segmented,fp16,1
q0,0,4,decode,cuda:0,132,0,132,132,77,55,55,segmented,fp16,1
q0,0,4,decode,cuda:1,126,0,126,126,93,33,33,segmented,fp16,1
q0,0,5,decode,cuda:0,132,0,132,132,74,58,58,segmented,fp16,1
q0,0,5,decode,cuda:1,126,0,126,126,100,26,26,segmented,fp16,1
q0,0,6,decode,cuda:0,132,0,132,132,71,61,61,segmented,fp16,1
q0,0,6,decode,cuda:1,126,0,126,126,92,34,34,segmented,fp16,1
q0,0,7,decode,cuda:0,132,0,132,132,76,56,56,segmented,fp16,1
q0,0,7,decode,cuda:1,126,0,126,126,98,28,28,segmented,fp16,1
q0,0,8,decode,cuda:0,132,0,132,132,81,51,51,segmented,fp16,1
q0,0,8,decode,cuda:1,126,0,126,126,87,39,39,segmented,fp16,1
q0,0,9,decode,cuda:0,132,0,132,132,64,68,68,segmented,fp16,1
q0,0,9,decode,cuda:1,126,0,126,126,86,40,40,segmented,fp16,1
q0,0,10,decode,cuda:0,132,0,132,132,73,59,59,segmented,fp16,1
q0,0,10,decode,cuda:1,126,0,126,126,76,50,50,segmented,fp16,1
q0,0,11,decode,cuda:0,132,0,132,132,89,43,43,segmented,fp16,1
q0,0,11,decode,cuda:1,126,0,126,126,93,33,33,segmented,fp16,1
q0,0,12,decode,cuda:0,132,0,132,132,62,70,70,segmented,fp16,1
q0,0,12,decode,cuda:1,126,0,126,126,98,28,28,segmented,fp16,1
q0,0,13,decode,cuda:0,132,0,132,132,87,45,45,segmented,fp16,1
q0,0,13,decode,cuda:1,126,0,126,126,104,22,22,segmented,fp16,1
q0,0,14,decode,cuda:0,132,0,132,132,76,56,56,segmented,fp16,1
q0,0,14,decode,cuda:1,126,0,126,126,107,19,19,segmented,fp16,1
q0,0,15,decode,cuda:0,132,0,132,132,86,46,46,segmented,fp16,1
q0,0,15,decode,cuda:1,126,0,126,126,105,21,21,segmented,fp16,1
q0,0,0,prefill,pooled,1642,0,1642,1553,0,1642,278,segmented,fp16,1
q0,0,1,decode,pooled,258,0,258,317,162,96,96,segmented,fp16,1
q0,0,2,decode,pooled,258,0,258,258,152,106,106,segmented,fp16,1
q0,0,3,decode,pooled,258,0,258,258,163,95,95,segmented,fp16,1
q0,0,4,decode,pooled,258,0,258,258,170,88,88,segmented,fp16,1
q0,0,5,decode,pooled,258,0,258,258,174,84,84,segmented,fp16,1
q0,0,6,decode,pooled,258,0,258,258,163,95,95,segmented,fp16,1
q0,0,7,decode,pooled,258,0,258,258,174,84,84,segmented,fp16,1
q0,0,8,decode,pooled,258,0,258,258,168,90,90,segmented,fp16,1
q0,0,9,decode,pooled,258,0,258,258,150,108,108,segmented,fp16,1
q0,0,10,decode,pooled,258,0,258,258,149,109,109,segmented,fp16,1
q0,0,11,decode,pooled,258,0,258,258,182,76,76,segmented,fp16,1
q0,0,12,decode,pooled,258,0,258,258,160,98,98,segmented,fp16,1
