layer,expert,region,codec,orig,cbytes,est_bytes,c_ms,d_ms,verified,error,region_sha256,note
0,2,w3w,zeros,4194304,,,,,,,ae5bc35ef5e65b931f030efebc5cc856ecc07c9089b8c22fff5d4c4c50967067,"{""zero_frac"": 0.004310131072998047, ""longest_zero_run"": 3, ""distinct_bytes"": 256}"
0,2,w2w,lz4_fast,4194304,4194339,,7.552717999999459,6.924050000009174,True,,2e7ea2319d573d7254965368e86378f1ab1dbafeba71f3802d02c4eb081d375d,
0,2,w2w,zstd_1,4194304,4046666,,13.53595000000496,8.149788000025637,True,,2e7ea2319d573d7254965368e86378f1ab1dbafeba71f3802d02c4eb081d375d,
0,2,w2w,zstd_3,4194304,4063481,,29.655472000001737,9.38115500002823,True,,2e7ea2319d573d7254965368e86378f1ab1dbafeba71f3802d02c4eb081d375d,
0,2,w2w,nib_split_zstd3,4194304,4364454,,195.27841100000387,29.98934800001507,True,,2e7ea2319d573d7254965368e86378f1ab1dbafeba71f3802d02c4eb081d375d,
0,2,w2w,order0,4194304,,4024593.137311258,,,,,2e7ea2319d573d7254965368e86378f1ab1dbafeba71f3802d02c4eb081d375d,
0,2,w2w,order1,4194304,,3938833.9734900612,,,,,2e7ea2319d573d7254965368e86378f1ab1dbafeba71f3802d02c4eb081d375d,
0,2,w2w,zeros,4194304,,,,,,,2e7ea2319d573d7254965368e86378f1ab1dbafeba71f3802d02c4eb081d375d,"{""zero_frac"": 0.004225015640258789, ""longest_zero_run"": 3, ""distinct_bytes"": 256}"
0,2,w1s,lz4_fast,262144,127861,,0.6323220000012952,0.591810000003079,True,,731cb240108cd4a54dbadea05a407a23e88a57c3997b5d52dd396c3ae73d3400,
0,2,w1s,zstd_1,262144,51593,,2.4214840000240656,1.2754379999933008,True,,731cb240108cd4a54dbadea05a407a23e88a57c3997b5d52dd396c3ae73d3400,
0,2,w1s,zstd_3,262144,49645,,2.1538100000384475,1.029692999964027,True,,731cb240108cd4a54dbadea05a407a23e88a57c3997b5d52dd396c3ae73d3400,
0,2,w1s,nib_split_zstd3,262144,49561,,2.290430999948967,1.1059060000206955,True,,731cb240108cd4a54dbadea05a407a23e88a57c3997b5d52dd396c3ae73d3400,
0,2,w1s,order0,262144,,31642.26651085963,,,,,731cb240108cd4a54dbadea05a407a23e88a57c3997b5d52dd396c3ae73d3400,
0,2,w1s,order1,262144,,31639.56201738124,,,,,731cb240108cd4a54dbadea05a407a23e88a57c3997b5d52dd396c3ae73d3400,
0,2,w1s,zeros,262144,,,,,,,731cb240108cd4a54dbadea05a407a23e88a57c3997b5d52dd396c3ae73d3400,"{""zero_frac"": 0.0, ""longest_zero_run"": 0, ""distinct_bytes"": 4}"
0,2,w3s,lz4_fast,262144,126707,,0.6169179999915286,0.6756059999588615,True,,883b9b7c4a7b14e97744f584a7225f40a604389082c69863718af4c4ce35aab2,
0,2,w3s,zstd_1,262144,51491,,2.3711759999969217,1.325971000028403,True,,883b9b7c4a7b14e97744f584a7225f40a604389082c69863718af4c4ce35aab2,
0,2,w3s,zstd_3,262144,49388,,2.2446480000439806,1.0286849999943115,True,,883b9b7c4a7b14e97744f584a7225f40a604389082c69863718af4c4ce35aab2,
0,2,w3s,nib_split_zstd3,262144,49388,,2.2927240000285565,1.0894600000028731,True,,883b9b7c4a7b14e97744f584a7225f40a604389082c69863718af4c4ce35aab2,
0,2,w3s,order0,262144,,31003.613514603196,,,,,883b9b7c4a7b14e97744f584a7225f40a604389082c69863718af4c4ce35aab2,
0,2,w3s,order1,262144,,30997.019778503243,,,,,883b9b7c4a7b14e97744f584a7225f40a604389082c69863718af4c4ce35aab2,
0,2,w3s,zeros,262144,,,,,,,883b9b7c4a7b14e97744f584a7225f40a604389082c69863718af4c4ce35aab2,"{""zero_frac"": 0.0, ""longest_zero_run"": 0, ""distinct_bytes"": 4}"
0,2,w2s,lz4_fast,262144,128384,,0.6301809999627039,0.6364920000123675,True,,dbcee3edfcc5e2958dddb2d22eec0059547999e092293a0b7db3f508fe9ef081,
0,2,w2s,zstd_1,262144,51507,,2.398878999997578,1.1911920000216014,True,,dbcee3edfcc5e2958dddb2d22eec0059547999e092293a0b7db3f508fe9ef081,
0,2,w2s,zstd_3,262144,49415,,2.2162399999956506,1.0250189999965187,True,,dbcee3edfcc5e2958dddb2d22eec0059547999e092293a0b7db3f508fe9ef081,
0,2,w2s,nib_split_zstd3,262144,49451,,2.319333999992068,1.1061410000365868,True,,dbcee3edfcc5e2958dddb2d22eec0059547999e092293a0b7db3f508fe9ef081,
0,2,w2s,order0,262144,,31515.063579910468,,,,,dbcee3edfcc5e2958dddb2d22eec0059547999e092293a0b7db3f508fe9ef081,
0,2,w2s,order1,262144,,31514.495313392956,,,,,dbcee3edfcc5e2958dddb2d22eec0059547999e092293a0b7db3f508fe9ef081,
0,2,w2s,zeros,262144,,,,,,,dbcee3edfcc5e2958dddb2d22eec0059547999e092293a0b7db3f508fe9ef081,"{""zero_frac"": 0.0, ""longest_zero_run"": 0, ""distinct_bytes"": 4}"
0,2,whole,lz4_fast,13369344,12965681,,8.78859299996293,20.26943900000333,True,,01e0511fe6205435ee70b4f47eff659c6ccc34b150208ac0ec7629322ed8ab5d,
0,2,whole,zstd_1,13369344,12289089,,46.03501399998322,27.777280999998766,True,,01e0511fe6205435ee70b4f47eff659c6ccc34b150208ac0ec7629322ed8ab5d,
0,2,whole,zstd_3,13369344,12301405,,91.87294000003021,31.24566099995718,True,,01e0511fe6205435ee70b4f47eff659c6ccc34b150208ac0ec7629322ed8ab5d,
0,2,whole,nib_split_zstd3,13369344,13253495,,602.6464360000432,125.07695499999727,True,,01e0511fe6205435ee70b4f47eff659c6ccc34b150208ac0ec7629322ed8ab5d,
0,2,whole,order0,13369344,,12693957.80227193,,,,,01e0511fe6205435ee70b4f47eff659c6ccc34b150208ac0ec7629322ed8ab5d,
0,2,whole,order1,13369344,,11935570.488623943,,,,,01e0511fe6205435ee70b4f47eff659c6ccc34b150208ac0ec7629322ed8ab5d,
0,2,whole,zeros,13369344,,,,,,,01e0511fe6205435ee70b4f47eff659c6ccc34b150208ac0ec7629322ed8ab5d,"{""zero_frac"": 0.0040269739487591915, ""longest_zero_run"": 3, ""distinct_bytes"": 256}"
