scope,policy,pin_frac,budget_gib,slots,requests,hits,misses,hit_rate,evictions,miss_frac,ssd_GiB_total,ssd_MiB_per_token,wall_prod_0.29,wall_lanes1_0.35,wall_qd1_0.37,wall_3gibs,wall_5gibs,wall_7gibs,wall_12gibs,ram_cost_GiB
full,engine_priority_lru,0.5,48,3855,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,48.0
full,arc,0.5,48,3855,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,48.0
full,lfu,0.5,48,3855,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,48.0
full,static_freq,0.5,48,3855,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
full,static_layer_freq,0.5,48,3855,5099,5071,28,0.994509,0,0.005491,0.35,22.3,0.08,0.06,0.06,0.01,0.0,0.0,0.0,48.0
full,freq_lru,0.25,48,3855,5099,3698,1401,0.72524,0,0.27476,17.44,1116.4,3.76,3.12,2.95,0.36,0.22,0.16,0.09,48.0
full,freq_lru,0.5,48,3855,5099,4662,437,0.914297,0,0.085703,5.44,348.2,1.17,0.97,0.92,0.11,0.07,0.05,0.03,48.0
full,freq_lru,0.75,48,3855,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
full,freq_lru_warmup,0.5,48,3855,5099,3964,1135,0.777407,0,0.222593,14.13,904.5,3.05,2.52,2.39,0.29,0.18,0.13,0.07,48.0
full,freq_x_recency,0.5,48,3855,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,48.0
full,layer_lru,0.5,48,3855,5099,2735,2364,0.53638,28,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,48.0
full,cost_aware,0.5,48,3855,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,48.0
full,belady,0.5,48,3855,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,48.0
full,lru,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,64.0
full,engine_priority_lru,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,64.0
full,arc,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,64.0
full,lfu,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,64.0
full,static_freq,0.5,64,5140,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
full,static_layer_freq,0.5,64,5140,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
full,freq_lru,0.25,64,5140,5099,4020,1079,0.78839,0,0.21161,13.43,859.8,2.9,2.4,2.27,0.28,0.17,0.12,0.07,64.0
full,freq_lru,0.5,64,5140,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
full,freq_lru,0.75,64,5140,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
full,freq_lru_warmup,0.5,64,5140,5099,3964,1135,0.777407,0,0.222593,14.13,904.5,3.05,2.52,2.39,0.29,0.18,0.13,0.07,64.0
full,freq_x_recency,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,64.0
full,layer_lru,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,64.0
full,cost_aware,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,64.0
full,belady,0.5,64,5140,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,64.0
full,lru,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,96.0
full,engine_priority_lru,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,96.0
full,arc,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,96.0
full,lfu,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,96.0
full,static_freq,0.5,96,7710,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
full,static_layer_freq,0.5,96,7710,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
full,freq_lru,0.25,96,7710,5099,4662,437,0.914297,0,0.085703,5.44,348.2,1.17,0.97,0.92,0.11,0.07,0.05,0.03,96.0
full,freq_lru,0.5,96,7710,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
full,freq_lru,0.75,96,7710,5099,5099,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
full,freq_lru_warmup,0.5,96,7710,5099,3964,1135,0.777407,0,0.222593,14.13,904.5,3.05,2.52,2.39,0.29,0.18,0.13,0.07,96.0
full,freq_x_recency,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,96.0
full,layer_lru,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,96.0
full,cost_aware,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,96.0
full,belady,0.5,96,7710,5099,2735,2364,0.53638,0,0.46362,29.43,1883.8,6.34,5.26,4.97,0.61,0.37,0.26,0.15,96.0
