scope,policy,pin_frac,budget_gib,slots,requests,hits,misses,hit_rate,evictions,miss_frac,ssd_GiB_total,ssd_MiB_per_token,wall_prod_0.29,wall_lanes1_0.35,wall_qd1_0.37,wall_3gibs,wall_5gibs,wall_7gibs,wall_12gibs,ram_cost_GiB
gpu0,lru,0.5,3,240,2613,657,1956,0.251435,1716,0.748565,24.35,1558.7,5.25,4.35,4.11,0.51,0.3,0.22,0.13,3.0
gpu0,engine_priority_lru,0.5,3,240,2613,293,2320,0.112132,2080,0.887868,28.89,1848.8,6.23,5.16,4.88,0.6,0.36,0.26,0.15,3.0
gpu0,arc,0.5,3,240,2613,564,2049,0.215844,1809,0.784156,25.51,1632.8,5.5,4.56,4.31,0.53,0.32,0.23,0.13,3.0
gpu0,lfu,0.5,3,240,2613,766,1847,0.29315,1607,0.70685,23.0,1471.8,4.96,4.11,3.88,0.48,0.29,0.21,0.12,3.0
gpu0,static_freq,0.5,3,240,2613,1281,1332,0.490241,0,0.509759,16.58,1061.4,3.57,2.96,2.8,0.35,0.21,0.15,0.09,3.0
gpu0,static_layer_freq,0.5,3,240,2613,781,1832,0.29889,0,0.70111,22.81,1459.9,4.92,4.07,3.85,0.48,0.29,0.2,0.12,3.0
gpu0,freq_lru,0.25,3,240,2613,809,1804,0.309606,1624,0.690394,22.46,1437.6,4.84,4.01,3.79,0.47,0.28,0.2,0.12,3.0
gpu0,freq_lru,0.5,3,240,2613,1012,1601,0.387294,1481,0.612706,19.93,1275.8,4.3,3.56,3.37,0.42,0.25,0.18,0.1,3.0
gpu0,freq_lru,0.75,3,240,2613,1120,1493,0.428626,1433,0.571374,18.59,1189.7,4.01,3.32,3.14,0.39,0.23,0.17,0.1,3.0
gpu0,freq_lru_warmup,0.5,3,240,2613,213,2400,0.081515,2280,0.918485,29.88,1912.5,6.44,5.34,5.05,0.62,0.37,0.27,0.16,3.0
gpu0,freq_x_recency,0.5,3,240,2613,746,1867,0.285496,1627,0.714504,23.25,1487.8,5.01,4.15,3.93,0.48,0.29,0.21,0.12,3.0
gpu0,layer_lru,0.5,3,240,2613,123,2490,0.047072,2380,0.952928,31.0,1984.2,6.68,5.54,5.24,0.65,0.39,0.28,0.16,3.0
gpu0,cost_aware,0.5,3,240,2613,657,1956,0.251435,1716,0.748565,24.35,1558.7,5.25,4.35,4.11,0.51,0.3,0.22,0.13,3.0
gpu0,belady,0.5,3,240,2613,1232,1381,0.471489,1141,0.528511,17.2,1100.5,3.71,3.07,2.9,0.36,0.21,0.15,0.09,3.0
gpu0,lru,0.5,3.5,281,2613,680,1933,0.260237,1652,0.739763,24.07,1540.4,5.19,4.3,4.07,0.5,0.3,0.21,0.13,3.5
gpu0,engine_priority_lru,0.5,3.5,281,2613,329,2284,0.125909,2003,0.874091,28.44,1820.1,6.13,5.08,4.8,0.59,0.36,0.25,0.15,3.5
gpu0,arc,0.5,3.5,281,2613,622,1991,0.238041,1710,0.761959,24.79,1586.6,5.34,4.43,4.19,0.52,0.31,0.22,0.13,3.5
gpu0,lfu,0.5,3.5,281,2613,824,1789,0.315346,1508,0.684654,22.28,1425.6,4.8,3.98,3.76,0.46,0.28,0.2,0.12,3.5
gpu0,static_freq,0.5,3.5,281,2613,1382,1231,0.528894,0,0.471106,15.33,981.0,3.3,2.74,2.59,0.32,0.19,0.14,0.08,3.5
gpu0,static_layer_freq,0.5,3.5,281,2613,880,1733,0.336778,0,0.663222,21.58,1381.0,4.65,3.85,3.64,0.45,0.27,0.19,0.11,3.5
gpu0,freq_lru,0.25,3.5,281,2613,903,1710,0.34558,1499,0.65442,21.29,1362.7,4.59,3.8,3.6,0.44,0.27,0.19,0.11,3.5
gpu0,freq_lru,0.5,3.5,281,2613,1100,1513,0.420972,1372,0.579028,18.84,1205.7,4.06,3.36,3.18,0.39,0.24,0.17,0.1,3.5
gpu0,freq_lru,0.75,3.5,281,2613,1250,1363,0.478377,1292,0.521623,16.97,1086.1,3.66,3.03,2.87,0.35,0.21,0.15,0.09,3.5
gpu0,freq_lru_warmup,0.5,3.5,281,2613,701,1912,0.268274,1771,0.731726,23.81,1523.6,5.13,4.25,4.02,0.5,0.3,0.21,0.12,3.5
gpu0,freq_x_recency,0.5,3.5,281,2613,831,1782,0.318025,1501,0.681975,22.19,1420.0,4.78,3.96,3.75,0.46,0.28,0.2,0.12,3.5
gpu0,layer_lru,0.5,3.5,281,2613,361,2252,0.138155,2120,0.861845,28.04,1794.6,6.04,5.01,4.74,0.58,0.35,0.25,0.15,3.5
gpu0,cost_aware,0.5,3.5,281,2613,680,1933,0.260237,1652,0.739763,24.07,1540.4,5.19,4.3,4.07,0.5,0.3,0.21,0.13,3.5
gpu0,belady,0.5,3.5,281,2613,1273,1340,0.487179,1059,0.512821,16.68,1067.8,3.6,2.98,2.82,0.35,0.21,0.15,0.09,3.5
gpu0,lru,0.5,4,321,2613,780,1833,0.298507,1512,0.701493,22.82,1460.7,4.92,4.08,3.86,0.48,0.29,0.2,0.12,4.0
gpu0,engine_priority_lru,0.5,4,321,2613,358,2255,0.137007,1934,0.862993,28.08,1797.0,6.05,5.01,4.74,0.58,0.35,0.25,0.15,4.0
gpu0,arc,0.5,4,321,2613,724,1889,0.277076,1568,0.722924,23.52,1505.3,5.07,4.2,3.97,0.49,0.29,0.21,0.12,4.0
gpu0,lfu,0.5,4,321,2613,879,1734,0.336395,1413,0.663605,21.59,1381.8,4.65,3.86,3.65,0.45,0.27,0.19,0.11,4.0
gpu0,static_freq,0.5,4,321,2613,1462,1151,0.55951,0,0.44049,14.33,917.2,3.09,2.56,2.42,0.3,0.18,0.13,0.07,4.0
gpu0,static_layer_freq,0.5,4,321,2613,976,1637,0.373517,0,0.626483,20.38,1304.5,4.39,3.64,3.44,0.42,0.25,0.18,0.11,4.0
gpu0,freq_lru,0.25,4,321,2613,978,1635,0.374282,1394,0.625718,20.36,1302.9,4.39,3.64,3.44,0.42,0.25,0.18,0.11,4.0
gpu0,freq_lru,0.5,4,321,2613,1178,1435,0.450823,1274,0.549177,17.87,1143.5,3.85,3.19,3.02,0.37,0.22,0.16,0.09,4.0
gpu0,freq_lru,0.75,4,321,2613,1338,1275,0.512055,1194,0.487945,15.88,1016.0,3.42,2.83,2.68,0.33,0.2,0.14,0.08,4.0
gpu0,freq_lru_warmup,0.5,4,321,2613,751,1862,0.287409,1701,0.712591,23.18,1483.8,5.0,4.14,3.92,0.48,0.29,0.21,0.12,4.0
gpu0,freq_x_recency,0.5,4,321,2613,915,1698,0.350172,1377,0.649828,21.14,1353.1,4.56,3.78,3.57,0.44,0.26,0.19,0.11,4.0
gpu0,layer_lru,0.5,4,321,2613,469,2144,0.179487,1990,0.820513,26.7,1708.5,5.75,4.77,4.51,0.56,0.33,0.24,0.14,4.0
gpu0,cost_aware,0.5,4,321,2613,780,1833,0.298507,1512,0.701493,22.82,1460.7,4.92,4.08,3.86,0.48,0.29,0.2,0.12,4.0
gpu0,belady,0.5,4,321,2613,1313,1300,0.502488,979,0.497512,16.19,1035.9,3.49,2.89,2.73,0.34,0.2,0.14,0.08,4.0
gpu0,lru,0.5,6,481,2613,1084,1529,0.414849,1048,0.585151,19.04,1218.4,4.1,3.4,3.22,0.4,0.24,0.17,0.1,6.0
gpu0,engine_priority_lru,0.5,6,481,2613,569,2044,0.217757,1563,0.782243,25.45,1628.8,5.48,4.54,4.3,0.53,0.32,0.23,0.13,6.0
gpu0,arc,0.5,6,481,2613,984,1629,0.376579,1148,0.623421,20.28,1298.1,4.37,3.62,3.43,0.42,0.25,0.18,0.11,6.0
gpu0,lfu,0.5,6,481,2613,1084,1529,0.414849,1048,0.585151,19.04,1218.4,4.1,3.4,3.22,0.4,0.24,0.17,0.1,6.0
gpu0,static_freq,0.5,6,481,2613,1782,831,0.681975,0,0.318025,10.35,662.2,2.23,1.85,1.75,0.22,0.13,0.09,0.05,6.0
gpu0,static_layer_freq,0.5,6,481,2613,1264,1349,0.483735,0,0.516265,16.8,1075.0,3.62,3.0,2.84,0.35,0.21,0.15,0.09,6.0
gpu0,freq_lru,0.25,6,481,2613,1235,1378,0.472637,1017,0.527363,17.16,1098.1,3.7,3.06,2.9,0.36,0.21,0.15,0.09,6.0
gpu0,freq_lru,0.5,6,481,2613,1423,1190,0.544585,949,0.455415,14.82,948.3,3.19,2.65,2.5,0.31,0.19,0.13,0.08,6.0
gpu0,freq_lru,0.75,6,481,2613,1604,1009,0.613854,888,0.386146,12.56,804.0,2.71,2.24,2.12,0.26,0.16,0.11,0.07,6.0
gpu0,freq_lru_warmup,0.5,6,481,2613,1074,1539,0.411022,1298,0.588978,19.16,1226.4,4.13,3.42,3.24,0.4,0.24,0.17,0.1,6.0
gpu0,freq_x_recency,0.5,6,481,2613,1093,1520,0.418293,1039,0.581707,18.93,1211.2,4.08,3.38,3.2,0.39,0.24,0.17,0.1,6.0
gpu0,layer_lru,0.5,6,481,2613,630,1983,0.241102,1741,0.758898,24.69,1580.2,5.32,4.41,4.17,0.51,0.31,0.22,0.13,6.0
gpu0,cost_aware,0.5,6,481,2613,1084,1529,0.414849,1048,0.585151,19.04,1218.4,4.1,3.4,3.22,0.4,0.24,0.17,0.1,6.0
gpu0,belady,0.5,6,481,2613,1316,1297,0.503636,816,0.496364,16.15,1033.5,3.48,2.88,2.73,0.34,0.2,0.14,0.08,6.0
gpu0,lru,0.5,8,642,2613,1192,1421,0.456181,779,0.543819,17.69,1132.4,3.81,3.16,2.99,0.37,0.22,0.16,0.09,8.0
gpu0,engine_priority_lru,0.5,8,642,2613,820,1793,0.313816,1151,0.686184,22.32,1428.8,4.81,3.99,3.77,0.47,0.28,0.2,0.12,8.0
gpu0,arc,0.5,8,642,2613,1186,1427,0.453884,785,0.546116,17.77,1137.1,3.83,3.17,3.0,0.37,0.22,0.16,0.09,8.0
gpu0,lfu,0.5,8,642,2613,1195,1418,0.457329,776,0.542671,17.66,1130.0,3.81,3.15,2.98,0.37,0.22,0.16,0.09,8.0
gpu0,static_freq,0.5,8,642,2613,1958,655,0.74933,0,0.25067,8.16,522.0,1.76,1.46,1.38,0.17,0.1,0.07,0.04,8.0
gpu0,static_layer_freq,0.5,8,642,2613,1430,1183,0.547264,0,0.452736,14.73,942.7,3.17,2.63,2.49,0.31,0.18,0.13,0.08,8.0
gpu0,freq_lru,0.25,8,642,2613,1360,1253,0.520475,771,0.479525,15.6,998.5,3.36,2.79,2.64,0.33,0.2,0.14,0.08,8.0
gpu0,freq_lru,0.5,8,642,2613,1591,1022,0.608879,701,0.391121,12.73,814.4,2.74,2.27,2.15,0.27,0.16,0.11,0.07,8.0
gpu0,freq_lru,0.75,8,642,2613,1797,816,0.687715,655,0.312285,10.16,650.2,2.19,1.81,1.72,0.21,0.13,0.09,0.05,8.0
gpu0,freq_lru_warmup,0.5,8,642,2613,1427,1186,0.546116,865,0.453884,14.77,945.1,3.18,2.64,2.49,0.31,0.18,0.13,0.08,8.0
gpu0,freq_x_recency,0.5,8,642,2613,1194,1419,0.456946,777,0.543054,17.67,1130.8,3.81,3.16,2.98,0.37,0.22,0.16,0.09,8.0
gpu0,layer_lru,0.5,8,642,2613,800,1813,0.306162,1505,0.693838,22.57,1444.7,4.87,4.03,3.81,0.47,0.28,0.2,0.12,8.0
gpu0,cost_aware,0.5,8,642,2613,1192,1421,0.456181,779,0.543819,17.69,1132.4,3.81,3.16,2.99,0.37,0.22,0.16,0.09,8.0
gpu0,belady,0.5,8,642,2613,1316,1297,0.503636,655,0.496364,16.15,1033.5,3.48,2.88,2.73,0.34,0.2,0.14,0.08,8.0
gpu1,lru,0.5,1,80,2486,0,2486,0.0,2406,1.0,30.95,1981.0,6.67,5.53,5.23,0.64,0.39,0.28,0.16,1.0
gpu1,engine_priority_lru,0.5,1,80,2486,142,2344,0.05712,2264,0.94288,29.19,1867.9,6.29,5.21,4.93,0.61,0.36,0.26,0.15,1.0
gpu1,arc,0.5,1,80,2486,0,2486,0.0,2406,1.0,30.95,1981.0,6.67,5.53,5.23,0.64,0.39,0.28,0.16,1.0
gpu1,lfu,0.5,1,80,2486,527,1959,0.211987,1879,0.788013,24.39,1561.1,5.26,4.36,4.12,0.51,0.3,0.22,0.13,1.0
gpu1,static_freq,0.5,1,80,2486,832,1654,0.334674,0,0.665326,20.59,1318.0,4.44,3.68,3.48,0.43,0.26,0.18,0.11,1.0
gpu1,static_layer_freq,0.5,1,80,2486,273,2213,0.109815,0,0.890185,27.55,1763.5,5.94,4.92,4.65,0.57,0.34,0.25,0.14,1.0
gpu1,freq_lru,0.25,1,80,2486,289,2197,0.116251,2137,0.883749,27.36,1750.7,5.9,4.88,4.62,0.57,0.34,0.24,0.14,1.0
gpu1,freq_lru,0.5,1,80,2486,511,1975,0.205551,1935,0.794449,24.59,1573.8,5.3,4.39,4.15,0.51,0.31,0.22,0.13,1.0
gpu1,freq_lru,0.75,1,80,2486,685,1801,0.275543,1781,0.724457,22.42,1435.2,4.83,4.0,3.79,0.47,0.28,0.2,0.12,1.0
gpu1,freq_lru_warmup,0.5,1,80,2486,111,2375,0.04465,2335,0.95535,29.57,1892.6,6.37,5.28,5.0,0.62,0.37,0.26,0.15,1.0
gpu1,freq_x_recency,0.5,1,80,2486,523,1963,0.210378,1883,0.789622,24.44,1564.3,5.27,4.36,4.13,0.51,0.31,0.22,0.13,1.0
gpu1,layer_lru,0.5,1,80,2486,0,2486,0.0,2465,1.0,30.95,1981.0,6.67,5.53,5.23,0.64,0.39,0.28,0.16,1.0
gpu1,cost_aware,0.5,1,80,2486,0,2486,0.0,2406,1.0,30.95,1981.0,6.67,5.53,5.23,0.64,0.39,0.28,0.16,1.0
gpu1,belady,0.5,1,80,2486,977,1509,0.393001,1429,0.606999,18.79,1202.5,4.05,3.36,3.17,0.39,0.23,0.17,0.1,1.0
gpu1,lru,0.5,2,160,2486,819,1667,0.329445,1507,0.670555,20.76,1328.4,4.47,3.71,3.51,0.43,0.26,0.19,0.11,2.0
gpu1,engine_priority_lru,0.5,2,160,2486,252,2234,0.101368,2074,0.898632,27.82,1780.2,5.99,4.97,4.7,0.58,0.35,0.25,0.14,2.0
gpu1,arc,0.5,2,160,2486,625,1861,0.251408,1701,0.748592,23.17,1483.0,4.99,4.14,3.91,0.48,0.29,0.21,0.12,2.0
gpu1,lfu,0.5,2,160,2486,810,1676,0.325825,1516,0.674175,20.87,1335.6,4.5,3.73,3.53,0.43,0.26,0.19,0.11,2.0
gpu1,static_freq,0.5,2,160,2486,1203,1283,0.48391,0,0.51609,15.97,1022.4,3.44,2.85,2.7,0.33,0.2,0.14,0.08,2.0
gpu1,static_layer_freq,0.5,2,160,2486,672,1814,0.270314,0,0.729686,22.59,1445.5,4.87,4.03,3.82,0.47,0.28,0.2,0.12,2.0
gpu1,freq_lru,0.25,2,160,2486,954,1532,0.383749,1412,0.616251,19.08,1220.8,4.11,3.41,3.22,0.4,0.24,0.17,0.1,2.0
gpu1,freq_lru,0.5,2,160,2486,1015,1471,0.408286,1391,0.591714,18.32,1172.2,3.95,3.27,3.09,0.38,0.23,0.16,0.1,2.0
gpu1,freq_lru,0.75,2,160,2486,1064,1422,0.427997,1382,0.572003,17.71,1133.2,3.82,3.16,2.99,0.37,0.22,0.16,0.09,2.0
gpu1,freq_lru_warmup,0.5,2,160,2486,205,2281,0.082462,2201,0.917538,28.4,1817.7,6.12,5.07,4.8,0.59,0.36,0.25,0.15,2.0
gpu1,freq_x_recency,0.5,2,160,2486,835,1651,0.335881,1491,0.664119,20.56,1315.6,4.43,3.67,3.47,0.43,0.26,0.18,0.11,2.0
gpu1,layer_lru,0.5,2,160,2486,6,2480,0.002414,2417,0.997586,30.88,1976.2,6.65,5.51,5.22,0.64,0.39,0.28,0.16,2.0
gpu1,cost_aware,0.5,2,160,2486,819,1667,0.329445,1507,0.670555,20.76,1328.4,4.47,3.71,3.51,0.43,0.26,0.19,0.11,2.0
gpu1,belady,0.5,2,160,2486,1291,1195,0.519308,1035,0.480692,14.88,952.3,3.21,2.66,2.51,0.31,0.19,0.13,0.08,2.0
gpu1,lru,0.5,3,240,2486,1000,1486,0.402253,1246,0.597747,18.5,1184.2,3.99,3.3,3.13,0.39,0.23,0.17,0.1,3.0
gpu1,engine_priority_lru,0.5,3,240,2486,309,2177,0.124296,1937,0.875704,27.11,1734.8,5.84,4.84,4.58,0.56,0.34,0.24,0.14,3.0
gpu1,arc,0.5,3,240,2486,778,1708,0.312953,1468,0.687047,21.27,1361.1,4.58,3.8,3.59,0.44,0.27,0.19,0.11,3.0
gpu1,lfu,0.5,3,240,2486,966,1520,0.388576,1280,0.611424,18.93,1211.2,4.08,3.38,3.2,0.39,0.24,0.17,0.1,3.0
gpu1,static_freq,0.5,3,240,2486,1450,1036,0.583266,0,0.416734,12.9,825.6,2.78,2.3,2.18,0.27,0.16,0.12,0.07,3.0
gpu1,static_layer_freq,0.5,3,240,2486,950,1536,0.38214,0,0.61786,19.12,1224.0,4.12,3.42,3.23,0.4,0.24,0.17,0.1,3.0
gpu1,freq_lru,0.25,3,240,2486,1151,1335,0.462993,1155,0.537007,16.62,1063.8,3.58,2.97,2.81,0.35,0.21,0.15,0.09,3.0
gpu1,freq_lru,0.5,3,240,2486,1249,1237,0.502414,1117,0.497586,15.4,985.7,3.32,2.75,2.6,0.32,0.19,0.14,0.08,3.0
gpu1,freq_lru,0.75,3,240,2486,1347,1139,0.541834,1079,0.458166,14.18,907.6,3.06,2.53,2.4,0.3,0.18,0.13,0.07,3.0
gpu1,freq_lru_warmup,0.5,3,240,2486,1023,1463,0.411504,1343,0.588496,18.22,1165.8,3.93,3.25,3.08,0.38,0.23,0.16,0.09,3.0
gpu1,freq_x_recency,0.5,3,240,2486,1036,1450,0.416734,1210,0.583266,18.05,1155.5,3.89,3.22,3.05,0.38,0.23,0.16,0.09,3.0
gpu1,layer_lru,0.5,3,240,2486,163,2323,0.065567,2218,0.934433,28.92,1851.1,6.23,5.17,4.89,0.6,0.36,0.26,0.15,3.0
gpu1,cost_aware,0.5,3,240,2486,1000,1486,0.402253,1246,0.597747,18.5,1184.2,3.99,3.3,3.13,0.39,0.23,0.17,0.1,3.0
gpu1,belady,0.5,3,240,2486,1392,1094,0.559936,854,0.440064,13.62,871.8,2.94,2.43,2.3,0.28,0.17,0.12,0.07,3.0
gpu1,lru,0.5,3.5,281,2486,1057,1429,0.425181,1148,0.574819,17.79,1138.7,3.83,3.18,3.01,0.37,0.22,0.16,0.09,3.5
gpu1,engine_priority_lru,0.5,3.5,281,2486,325,2161,0.130732,1880,0.869268,26.91,1722.0,5.8,4.8,4.55,0.56,0.34,0.24,0.14,3.5
gpu1,arc,0.5,3.5,281,2486,816,1670,0.328238,1389,0.671762,20.79,1330.8,4.48,3.71,3.51,0.43,0.26,0.19,0.11,3.5
gpu1,lfu,0.5,3.5,281,2486,1037,1449,0.417136,1168,0.582864,18.04,1154.7,3.89,3.22,3.05,0.38,0.23,0.16,0.09,3.5
gpu1,static_freq,0.5,3.5,281,2486,1542,944,0.620274,0,0.379726,11.75,752.2,2.53,2.1,1.99,0.24,0.15,0.1,0.06,3.5
gpu1,static_layer_freq,0.5,3.5,281,2486,1057,1429,0.425181,0,0.574819,17.79,1138.7,3.83,3.18,3.01,0.37,0.22,0.16,0.09,3.5
gpu1,freq_lru,0.25,3.5,281,2486,1202,1284,0.483508,1073,0.516492,15.99,1023.2,3.45,2.85,2.7,0.33,0.2,0.14,0.08,3.5
gpu1,freq_lru,0.5,3.5,281,2486,1348,1138,0.542237,997,0.457763,14.17,906.8,3.05,2.53,2.39,0.3,0.18,0.13,0.07,3.5
gpu1,freq_lru,0.75,3.5,281,2486,1437,1049,0.578037,978,0.421963,13.06,835.9,2.81,2.33,2.21,0.27,0.16,0.12,0.07,3.5
gpu1,freq_lru_warmup,0.5,3.5,281,2486,1072,1414,0.431215,1273,0.568785,17.61,1126.8,3.79,3.14,2.97,0.37,0.22,0.16,0.09,3.5
gpu1,freq_x_recency,0.5,3.5,281,2486,1111,1375,0.446903,1094,0.553097,17.12,1095.7,3.69,3.06,2.89,0.36,0.21,0.15,0.09,3.5
gpu1,layer_lru,0.5,3.5,281,2486,640,1846,0.257442,1720,0.742558,22.98,1471.0,4.95,4.1,3.88,0.48,0.29,0.21,0.12,3.5
gpu1,cost_aware,0.5,3.5,281,2486,1057,1429,0.425181,1148,0.574819,17.79,1138.7,3.83,3.18,3.01,0.37,0.22,0.16,0.09,3.5
gpu1,belady,0.5,3.5,281,2486,1419,1067,0.570796,786,0.429204,13.29,850.3,2.86,2.37,2.24,0.28,0.17,0.12,0.07,3.5
gpu1,lru,0.5,4,321,2486,1153,1333,0.463797,1012,0.536203,16.6,1062.2,3.58,2.96,2.8,0.35,0.21,0.15,0.09,4.0
gpu1,engine_priority_lru,0.5,4,321,2486,351,2135,0.141191,1814,0.858809,26.58,1701.3,5.73,4.75,4.49,0.55,0.33,0.24,0.14,4.0
gpu1,arc,0.5,4,321,2486,862,1624,0.346742,1303,0.653258,20.22,1294.1,4.36,3.61,3.42,0.42,0.25,0.18,0.11,4.0
gpu1,lfu,0.5,4,321,2486,1091,1395,0.438858,1074,0.561142,17.37,1111.6,3.74,3.1,2.93,0.36,0.22,0.16,0.09,4.0
gpu1,static_freq,0.5,4,321,2486,1622,864,0.652454,0,0.347546,10.76,688.5,2.32,1.92,1.82,0.22,0.13,0.1,0.06,4.0
gpu1,static_layer_freq,0.5,4,321,2486,1143,1343,0.459775,0,0.540225,16.72,1070.2,3.6,2.99,2.82,0.35,0.21,0.15,0.09,4.0
gpu1,freq_lru,0.25,4,321,2486,1284,1202,0.516492,961,0.483508,14.97,957.8,3.23,2.67,2.53,0.31,0.19,0.13,0.08,4.0
gpu1,freq_lru,0.5,4,321,2486,1405,1081,0.565165,920,0.434835,13.46,861.4,2.9,2.4,2.27,0.28,0.17,0.12,0.07,4.0
gpu1,freq_lru,0.75,4,321,2486,1523,963,0.612631,882,0.387369,11.99,767.4,2.58,2.14,2.03,0.25,0.15,0.11,0.06,4.0
gpu1,freq_lru_warmup,0.5,4,321,2486,1122,1364,0.451327,1203,0.548673,16.98,1086.9,3.66,3.03,2.87,0.35,0.21,0.15,0.09,4.0
gpu1,freq_x_recency,0.5,4,321,2486,1145,1341,0.460579,1020,0.539421,16.7,1068.6,3.6,2.98,2.82,0.35,0.21,0.15,0.09,4.0
gpu1,layer_lru,0.5,4,321,2486,792,1694,0.318584,1547,0.681416,21.09,1349.9,4.55,3.77,3.56,0.44,0.26,0.19,0.11,4.0
gpu1,cost_aware,0.5,4,321,2486,1153,1333,0.463797,1012,0.536203,16.6,1062.2,3.58,2.96,2.8,0.35,0.21,0.15,0.09,4.0
gpu1,belady,0.5,4,321,2486,1419,1067,0.570796,746,0.429204,13.29,850.3,2.86,2.37,2.24,0.28,0.17,0.12,0.07,4.0
gpu1,lru,0.5,6,481,2486,1283,1203,0.51609,722,0.48391,14.98,958.6,3.23,2.67,2.53,0.31,0.19,0.13,0.08,6.0
gpu1,engine_priority_lru,0.5,6,481,2486,593,1893,0.238536,1412,0.761464,23.57,1508.5,5.08,4.21,3.98,0.49,0.29,0.21,0.12,6.0
gpu1,arc,0.5,6,481,2486,1255,1231,0.504827,750,0.495173,15.33,981.0,3.3,2.74,2.59,0.32,0.19,0.14,0.08,6.0
gpu1,lfu,0.5,6,481,2486,1287,1199,0.517699,718,0.482301,14.93,955.5,3.22,2.67,2.52,0.31,0.19,0.13,0.08,6.0
gpu1,static_freq,0.5,6,481,2486,1900,586,0.76428,0,0.23572,7.3,467.0,1.57,1.3,1.23,0.15,0.09,0.07,0.04,6.0
gpu1,static_layer_freq,0.5,6,481,2486,1405,1081,0.565165,0,0.434835,13.46,861.4,2.9,2.4,2.27,0.28,0.17,0.12,0.07,6.0
gpu1,freq_lru,0.25,6,481,2486,1428,1058,0.574417,697,0.425583,13.17,843.1,2.84,2.35,2.23,0.27,0.16,0.12,0.07,6.0
gpu1,freq_lru,0.5,6,481,2486,1586,900,0.637973,659,0.362027,11.21,717.2,2.42,2.0,1.89,0.23,0.14,0.1,0.06,6.0
gpu1,freq_lru,0.75,6,481,2486,1762,724,0.708769,603,0.291231,9.01,576.9,1.94,1.61,1.52,0.19,0.11,0.08,0.05,6.0
gpu1,freq_lru_warmup,0.5,6,481,2486,1437,1049,0.578037,808,0.421963,13.06,835.9,2.81,2.33,2.21,0.27,0.16,0.12,0.07,6.0
gpu1,freq_x_recency,0.5,6,481,2486,1281,1205,0.515286,724,0.484714,15.0,960.2,3.23,2.68,2.53,0.31,0.19,0.13,0.08,6.0
gpu1,layer_lru,0.5,6,481,2486,986,1500,0.396621,1269,0.603379,18.68,1195.3,4.03,3.34,3.15,0.39,0.23,0.17,0.1,6.0
gpu1,cost_aware,0.5,6,481,2486,1283,1203,0.51609,722,0.48391,14.98,958.6,3.23,2.67,2.53,0.31,0.19,0.13,0.08,6.0
gpu1,belady,0.5,6,481,2486,1419,1067,0.570796,586,0.429204,13.29,850.3,2.86,2.37,2.24,0.28,0.17,0.12,0.07,6.0
gpu1,lru,0.5,8,642,2486,1384,1102,0.556718,460,0.443282,13.72,878.2,2.96,2.45,2.32,0.29,0.17,0.12,0.07,8.0
gpu1,engine_priority_lru,0.5,8,642,2486,921,1565,0.370475,923,0.629525,19.49,1247.1,4.2,3.48,3.29,0.41,0.24,0.17,0.1,8.0
gpu1,arc,0.5,8,642,2486,1374,1112,0.552695,470,0.447305,13.85,886.1,2.98,2.47,2.34,0.29,0.17,0.12,0.07,8.0
gpu1,lfu,0.5,8,642,2486,1384,1102,0.556718,460,0.443282,13.72,878.2,2.96,2.45,2.32,0.29,0.17,0.12,0.07,8.0
gpu1,static_freq,0.5,8,642,2486,2061,425,0.829043,0,0.170957,5.29,338.7,1.14,0.94,0.89,0.11,0.07,0.05,0.03,8.0
gpu1,static_layer_freq,0.5,8,642,2486,1557,929,0.626307,0,0.373693,11.57,740.3,2.49,2.07,1.95,0.24,0.14,0.1,0.06,8.0
gpu1,freq_lru,0.25,8,642,2486,1542,944,0.620274,462,0.379726,11.75,752.2,2.53,2.1,1.99,0.24,0.15,0.1,0.06,8.0
gpu1,freq_lru,0.5,8,642,2486,1738,748,0.699115,427,0.300885,9.31,596.1,2.01,1.66,1.57,0.19,0.12,0.08,0.05,8.0
gpu1,freq_lru,0.75,8,642,2486,1900,586,0.76428,425,0.23572,7.3,467.0,1.57,1.3,1.23,0.15,0.09,0.07,0.04,8.0
gpu1,freq_lru_warmup,0.5,8,642,2486,1663,823,0.668946,502,0.331054,10.25,655.8,2.21,1.83,1.73,0.21,0.13,0.09,0.05,8.0
gpu1,freq_x_recency,0.5,8,642,2486,1384,1102,0.556718,460,0.443282,13.72,878.2,2.96,2.45,2.32,0.29,0.17,0.12,0.07,8.0
gpu1,layer_lru,0.5,8,642,2486,1110,1376,0.4465,1082,0.5535,17.13,1096.5,3.69,3.06,2.89,0.36,0.21,0.15,0.09,8.0
gpu1,cost_aware,0.5,8,642,2486,1384,1102,0.556718,460,0.443282,13.72,878.2,2.96,2.45,2.32,0.29,0.17,0.12,0.07,8.0
gpu1,belady,0.5,8,642,2486,1419,1067,0.570796,425,0.429204,13.29,850.3,2.86,2.37,2.24,0.28,0.17,0.12,0.07,8.0
