scope,policy,pin_frac,budget_gib,slots,requests,hits,misses,hit_rate,evictions,miss_frac
gpu0,lru,0.5,4,321,2613,780,1833,0.298507,1512,0.701493
gpu0,engine_priority_lru,0.5,4,321,2613,358,2255,0.137007,1934,0.862993
gpu0,arc,0.5,4,321,2613,724,1889,0.277076,1568,0.722924
gpu0,lfu,0.5,4,321,2613,879,1734,0.336395,1413,0.663605
gpu0,static_freq,0.5,4,321,2613,1462,1151,0.55951,0,0.44049
gpu0,static_layer_freq,0.5,4,321,2613,976,1637,0.373517,0,0.626483
gpu0,freq_lru,0.25,4,321,2613,978,1635,0.374282,1394,0.625718
gpu0,freq_lru,0.5,4,321,2613,1178,1435,0.450823,1274,0.549177
gpu0,freq_lru,0.75,4,321,2613,1338,1275,0.512055,1194,0.487945
gpu0,freq_lru_warmup,0.5,4,321,2613,751,1862,0.287409,1701,0.712591
gpu0,freq_x_recency,0.5,4,321,2613,915,1698,0.350172,1377,0.649828
gpu0,layer_lru,0.5,4,321,2613,469,2144,0.179487,1990,0.820513
gpu0,cost_aware,0.5,4,321,2613,780,1833,0.298507,1512,0.701493
gpu0,belady,0.5,4,321,2613,1313,1300,0.502488,979,0.497512
gpu0,lru,0.5,6,481,2613,1084,1529,0.414849,1048,0.585151
gpu0,engine_priority_lru,0.5,6,481,2613,569,2044,0.217757,1563,0.782243
gpu0,arc,0.5,6,481,2613,984,1629,0.376579,1148,0.623421
gpu0,lfu,0.5,6,481,2613,1084,1529,0.414849,1048,0.585151
gpu0,static_freq,0.5,6,481,2613,1782,831,0.681975,0,0.318025
gpu0,static_layer_freq,0.5,6,481,2613,1264,1349,0.483735,0,0.516265
gpu0,freq_lru,0.25,6,481,2613,1235,1378,0.472637,1017,0.527363
gpu0,freq_lru,0.5,6,481,2613,1423,1190,0.544585,949,0.455415
gpu0,freq_lru,0.75,6,481,2613,1604,1009,0.613854,888,0.386146
gpu0,freq_lru_warmup,0.5,6,481,2613,1074,1539,0.411022,1298,0.588978
gpu0,freq_x_recency,0.5,6,481,2613,1093,1520,0.418293,1039,0.581707
gpu0,layer_lru,0.5,6,481,2613,630,1983,0.241102,1741,0.758898
gpu0,cost_aware,0.5,6,481,2613,1084,1529,0.414849,1048,0.585151
gpu0,belady,0.5,6,481,2613,1316,1297,0.503636,816,0.496364
gpu0,lru,0.5,8,642,2613,1192,1421,0.456181,779,0.543819
gpu0,engine_priority_lru,0.5,8,642,2613,820,1793,0.313816,1151,0.686184
gpu0,arc,0.5,8,642,2613,1186,1427,0.453884,785,0.546116
gpu0,lfu,0.5,8,642,2613,1195,1418,0.457329,776,0.542671
gpu0,static_freq,0.5,8,642,2613,1958,655,0.74933,0,0.25067
gpu0,static_layer_freq,0.5,8,642,2613,1430,1183,0.547264,0,0.452736
gpu0,freq_lru,0.25,8,642,2613,1360,1253,0.520475,771,0.479525
gpu0,freq_lru,0.5,8,642,2613,1591,1022,0.608879,701,0.391121
gpu0,freq_lru,0.75,8,642,2613,1797,816,0.687715,655,0.312285
gpu0,freq_lru_warmup,0.5,8,642,2613,1427,1186,0.546116,865,0.453884
gpu0,freq_x_recency,0.5,8,642,2613,1194,1419,0.456946,777,0.543054
gpu0,layer_lru,0.5,8,642,2613,800,1813,0.306162,1505,0.693838
gpu0,cost_aware,0.5,8,642,2613,1192,1421,0.456181,779,0.543819
gpu0,belady,0.5,8,642,2613,1316,1297,0.503636,655,0.496364
gpu1,lru,0.5,1,80,2486,0,2486,0.0,2406,1.0
gpu1,engine_priority_lru,0.5,1,80,2486,142,2344,0.05712,2264,0.94288
gpu1,arc,0.5,1,80,2486,0,2486,0.0,2406,1.0
gpu1,lfu,0.5,1,80,2486,527,1959,0.211987,1879,0.788013
gpu1,static_freq,0.5,1,80,2486,832,1654,0.334674,0,0.665326
gpu1,static_layer_freq,0.5,1,80,2486,273,2213,0.109815,0,0.890185
gpu1,freq_lru,0.25,1,80,2486,289,2197,0.116251,2137,0.883749
gpu1,freq_lru,0.5,1,80,2486,511,1975,0.205551,1935,0.794449
gpu1,freq_lru,0.75,1,80,2486,685,1801,0.275543,1781,0.724457
gpu1,freq_lru_warmup,0.5,1,80,2486,111,2375,0.04465,2335,0.95535
gpu1,freq_x_recency,0.5,1,80,2486,523,1963,0.210378,1883,0.789622
gpu1,layer_lru,0.5,1,80,2486,0,2486,0.0,2465,1.0
gpu1,cost_aware,0.5,1,80,2486,0,2486,0.0,2406,1.0
gpu1,belady,0.5,1,80,2486,977,1509,0.393001,1429,0.606999
gpu1,lru,0.5,2,160,2486,819,1667,0.329445,1507,0.670555
gpu1,engine_priority_lru,0.5,2,160,2486,252,2234,0.101368,2074,0.898632
gpu1,arc,0.5,2,160,2486,625,1861,0.251408,1701,0.748592
gpu1,lfu,0.5,2,160,2486,810,1676,0.325825,1516,0.674175
gpu1,static_freq,0.5,2,160,2486,1203,1283,0.48391,0,0.51609
gpu1,static_layer_freq,0.5,2,160,2486,672,1814,0.270314,0,0.729686
gpu1,freq_lru,0.25,2,160,2486,954,1532,0.383749,1412,0.616251
gpu1,freq_lru,0.5,2,160,2486,1015,1471,0.408286,1391,0.591714
gpu1,freq_lru,0.75,2,160,2486,1064,1422,0.427997,1382,0.572003
gpu1,freq_lru_warmup,0.5,2,160,2486,205,2281,0.082462,2201,0.917538
gpu1,freq_x_recency,0.5,2,160,2486,835,1651,0.335881,1491,0.664119
gpu1,layer_lru,0.5,2,160,2486,6,2480,0.002414,2417,0.997586
gpu1,cost_aware,0.5,2,160,2486,819,1667,0.329445,1507,0.670555
gpu1,belady,0.5,2,160,2486,1291,1195,0.519308,1035,0.480692
gpu1,lru,0.5,3,240,2486,1000,1486,0.402253,1246,0.597747
gpu1,engine_priority_lru,0.5,3,240,2486,309,2177,0.124296,1937,0.875704
gpu1,arc,0.5,3,240,2486,778,1708,0.312953,1468,0.687047
gpu1,lfu,0.5,3,240,2486,966,1520,0.388576,1280,0.611424
gpu1,static_freq,0.5,3,240,2486,1450,1036,0.583266,0,0.416734
gpu1,static_layer_freq,0.5,3,240,2486,950,1536,0.38214,0,0.61786
gpu1,freq_lru,0.25,3,240,2486,1151,1335,0.462993,1155,0.537007
gpu1,freq_lru,0.5,3,240,2486,1249,1237,0.502414,1117,0.497586
gpu1,freq_lru,0.75,3,240,2486,1347,1139,0.541834,1079,0.458166
gpu1,freq_lru_warmup,0.5,3,240,2486,1023,1463,0.411504,1343,0.588496
gpu1,freq_x_recency,0.5,3,240,2486,1036,1450,0.416734,1210,0.583266
gpu1,layer_lru,0.5,3,240,2486,163,2323,0.065567,2218,0.934433
gpu1,cost_aware,0.5,3,240,2486,1000,1486,0.402253,1246,0.597747
gpu1,belady,0.5,3,240,2486,1392,1094,0.559936,854,0.440064
gpu1,lru,0.5,3.5,281,2486,1057,1429,0.425181,1148,0.574819
gpu1,engine_priority_lru,0.5,3.5,281,2486,325,2161,0.130732,1880,0.869268
gpu1,arc,0.5,3.5,281,2486,816,1670,0.328238,1389,0.671762
gpu1,lfu,0.5,3.5,281,2486,1037,1449,0.417136,1168,0.582864
gpu1,static_freq,0.5,3.5,281,2486,1542,944,0.620274,0,0.379726
gpu1,static_layer_freq,0.5,3.5,281,2486,1057,1429,0.425181,0,0.574819
gpu1,freq_lru,0.25,3.5,281,2486,1202,1284,0.483508,1073,0.516492
gpu1,freq_lru,0.5,3.5,281,2486,1348,1138,0.542237,997,0.457763
gpu1,freq_lru,0.75,3.5,281,2486,1437,1049,0.578037,978,0.421963
gpu1,freq_lru_warmup,0.5,3.5,281,2486,1072,1414,0.431215,1273,0.568785
gpu1,freq_x_recency,0.5,3.5,281,2486,1111,1375,0.446903,1094,0.553097
gpu1,layer_lru,0.5,3.5,281,2486,640,1846,0.257442,1720,0.742558
gpu1,cost_aware,0.5,3.5,281,2486,1057,1429,0.425181,1148,0.574819
gpu1,belady,0.5,3.5,281,2486,1419,1067,0.570796,786,0.429204
gpu1,lru,0.5,4,321,2486,1153,1333,0.463797,1012,0.536203
gpu1,engine_priority_lru,0.5,4,321,2486,351,2135,0.141191,1814,0.858809
gpu1,arc,0.5,4,321,2486,862,1624,0.346742,1303,0.653258
gpu1,lfu,0.5,4,321,2486,1091,1395,0.438858,1074,0.561142
gpu1,static_freq,0.5,4,321,2486,1622,864,0.652454,0,0.347546
gpu1,static_layer_freq,0.5,4,321,2486,1143,1343,0.459775,0,0.540225
gpu1,freq_lru,0.25,4,321,2486,1284,1202,0.516492,961,0.483508
gpu1,freq_lru,0.5,4,321,2486,1405,1081,0.565165,920,0.434835
gpu1,freq_lru,0.75,4,321,2486,1523,963,0.612631,882,0.387369
gpu1,freq_lru_warmup,0.5,4,321,2486,1122,1364,0.451327,1203,0.548673
gpu1,freq_x_recency,0.5,4,321,2486,1145,1341,0.460579,1020,0.539421
gpu1,layer_lru,0.5,4,321,2486,792,1694,0.318584,1547,0.681416
gpu1,cost_aware,0.5,4,321,2486,1153,1333,0.463797,1012,0.536203
gpu1,belady,0.5,4,321,2486,1419,1067,0.570796,746,0.429204
gpu1,lru,0.5,6,481,2486,1283,1203,0.51609,722,0.48391
gpu1,engine_priority_lru,0.5,6,481,2486,593,1893,0.238536,1412,0.761464
gpu1,arc,0.5,6,481,2486,1255,1231,0.504827,750,0.495173
gpu1,lfu,0.5,6,481,2486,1287,1199,0.517699,718,0.482301
gpu1,static_freq,0.5,6,481,2486,1900,586,0.76428,0,0.23572
gpu1,static_layer_freq,0.5,6,481,2486,1405,1081,0.565165,0,0.434835
gpu1,freq_lru,0.25,6,481,2486,1428,1058,0.574417,697,0.425583
gpu1,freq_lru,0.5,6,481,2486,1586,900,0.637973,659,0.362027
gpu1,freq_lru,0.75,6,481,2486,1762,724,0.708769,603,0.291231
gpu1,freq_lru_warmup,0.5,6,481,2486,1437,1049,0.578037,808,0.421963
gpu1,freq_x_recency,0.5,6,481,2486,1281,1205,0.515286,724,0.484714
gpu1,layer_lru,0.5,6,481,2486,986,1500,0.396621,1269,0.603379
gpu1,cost_aware,0.5,6,481,2486,1283,1203,0.51609,722,0.48391
gpu1,belady,0.5,6,481,2486,1419,1067,0.570796,586,0.429204
gpu1,lru,0.5,8,642,2486,1384,1102,0.556718,460,0.443282
gpu1,engine_priority_lru,0.5,8,642,2486,921,1565,0.370475,923,0.629525
gpu1,arc,0.5,8,642,2486,1374,1112,0.552695,470,0.447305
gpu1,lfu,0.5,8,642,2486,1384,1102,0.556718,460,0.443282
gpu1,static_freq,0.5,8,642,2486,2061,425,0.829043,0,0.170957
gpu1,static_layer_freq,0.5,8,642,2486,1557,929,0.626307,0,0.373693
gpu1,freq_lru,0.25,8,642,2486,1542,944,0.620274,462,0.379726
gpu1,freq_lru,0.5,8,642,2486,1738,748,0.699115,427,0.300885
gpu1,freq_lru,0.75,8,642,2486,1900,586,0.76428,425,0.23572
gpu1,freq_lru_warmup,0.5,8,642,2486,1663,823,0.668946,502,0.331054
gpu1,freq_x_recency,0.5,8,642,2486,1384,1102,0.556718,460,0.443282
gpu1,layer_lru,0.5,8,642,2486,1110,1376,0.4465,1082,0.5535
gpu1,cost_aware,0.5,8,642,2486,1384,1102,0.556718,460,0.443282
gpu1,belady,0.5,8,642,2486,1419,1067,0.570796,425,0.429204
