prompt,prompt_idx,forward_step,phase,device,requests,vram_hits,vram_cold,vram_evictions,host_hits,host_misses,host_evictions,vram_policy,vram_dtype,persist
q0,0,11,decode,pooled,258,7,251,251,191,67,0,priority_lru,fp16,1
q0,0,12,decode,pooled,258,13,245,245,203,55,21,priority_lru,fp16,1
q0,0,13,decode,pooled,258,15,243,243,205,53,33,priority_lru,fp16,1
q0,0,14,decode,pooled,258,23,235,235,201,57,42,priority_lru,fp16,1
q0,0,15,decode,pooled,258,13,245,245,205,53,36,priority_lru,fp16,1
q0,0,0,prefill,cuda:0,861,0,861,787,0,861,0,priority_lru,fp16,1
q0,0,0,prefill,cuda:1,781,0,781,707,0,781,0,priority_lru,fp16,1
q0,0,1,decode,cuda:0,132,5,127,127,90,42,0,priority_lru,fp16,1
q0,0,1,decode,cuda:1,126,4,122,122,91,35,0,priority_lru,fp16,1
q0,0,2,decode,cuda:0,132,7,125,125,93,39,0,priority_lru,fp16,1
q0,0,2,decode,cuda:1,126,5,121,121,91,35,0,priority_lru,fp16,1
q0,0,3,decode,cuda:0,132,2,130,130,90,42,0,priority_lru,fp16,1
q0,0,3,decode,cuda:1,126,2,124,124,88,38,0,priority_lru,fp16,1
q0,0,4,decode,cuda:0,132,7,125,125,103,29,0,priority_lru,fp16,1
q0,0,4,decode,cuda:1,126,3,123,123,100,26,0,priority_lru,fp16,1
q0,0,5,decode,cuda:0,132,4,128,128,87,45,0,priority_lru,fp16,1
q0,0,5,decode,cuda:1,126,1,125,125,104,22,0,priority_lru,fp16,1
q0,0,6,decode,cuda:0,132,5,127,127,76,56,0,priority_lru,fp16,1
q0,0,6,decode,cuda:1,126,1,125,125,95,31,0,priority_lru,fp16,1
q0,0,7,decode,cuda:0,132,11,121,121,85,47,0,priority_lru,fp16,1
q0,0,7,decode,cuda:1,126,1,125,125,99,27,0,priority_lru,fp16,1
q0,0,8,decode,cuda:0,132,13,119,119,85,47,0,priority_lru,fp16,1
q0,0,8,decode,cuda:1,126,2,124,124,90,36,0,priority_lru,fp16,1
q0,0,9,decode,cuda:0,132,7,125,125,72,60,0,priority_lru,fp16,1
q0,0,9,decode,cuda:1,126,0,126,126,93,33,0,priority_lru,fp16,1
q0,0,10,decode,cuda:0,132,11,121,121,89,43,0,priority_lru,fp16,1
q0,0,10,decode,cuda:1,126,0,126,126,79,47,0,priority_lru,fp16,1
q0,0,11,decode,cuda:0,132,7,125,125,93,39,0,priority_lru,fp16,1
q0,0,11,decode,cuda:1,126,0,126,126,98,28,0,priority_lru,fp16,1
q0,0,12,decode,cuda:0,132,1,131,131,96,36,0,priority_lru,fp16,1
q0,0,12,decode,cuda:1,126,12,114,114,107,19,0,priority_lru,fp16,1
q0,0,13,decode,cuda:0,132,3,129,129,99,33,0,priority_lru,fp16,1
q0,0,13,decode,cuda:1,126,12,114,114,106,20,0,priority_lru,fp16,1
q0,0,14,decode,cuda:0,132,10,122,122,91,41,0,priority_lru,fp16,1
q0,0,14,decode,cuda:1,126,13,113,113,111,15,0,priority_lru,fp16,1
