scope,regime,policy,pin_frac,budget_gib,slots,initial_records,initial_state_gib,contract,repopulation_charged,requests,hits,misses,evictions,hit_rate,prefill_misses,decode_misses,prefill_hits,decode_hits,miss_frac
full,B,freq_lru_warmup,0.5,16,1285,0,0.0,B_causal_warmup,0,5099,2517,2582,1297,0.493626,1229,1353,0,2517,0.506374
full,B,freq_lru_warmup_s4,0.5,16,1285,0,0.0,B_causal_warmup,180,5099,2572,2707,1422,0.504413,1229,1478,0,2572,0.530888
full,C,static_freq_prewarm,,16,1285,1285,16.0,C1_bypass_fixed_set,0,5099,4020,1079,0,0.78839,394,685,835,3185,0.21161
full,C,static_layer_freq_prewarm,,16,1285,1247,15.527,C1_bypass_fixed_set_layer_budgeted,0,5099,3979,1120,0,0.780349,430,690,799,3180,0.219651
full,C,freq_lru_prewarm,0.25,16,1285,321,3.997,C3_pin_protected_plus_lru_remainder,0,5099,2923,2176,1212,0.57325,1042,1134,187,2736,0.42675
full,C,freq_lru_prewarm,0.5,16,1285,642,7.994,C3_pin_protected_plus_lru_remainder,0,5099,3346,1753,1110,0.656207,821,932,408,2938,0.343793
full,C,freq_lru_prewarm,0.75,16,1285,963,11.99,C3_pin_protected_plus_lru_remainder,0,5099,3698,1401,1079,0.72524,716,685,513,3185,0.27476
full,C,freq_lru_prewarm,0.9,16,1285,1156,14.394,C3_pin_protected_plus_lru_remainder,0,5099,3891,1208,1079,0.763091,523,685,706,3185,0.236909
full,C,freq_lru_prewarm,0.99,16,1285,1272,15.838,C3_pin_protected_plus_lru_remainder,0,5099,4007,1092,1079,0.78584,407,685,822,3185,0.21416
full,C,lru_prewarm_topN,,16,1285,1285,16.0,C2_fetch_on_fault,0,5099,3381,1718,1718,0.663071,446,1272,783,2598,0.336929
full,C,belady_same_state_prewarm,,16,1285,1285,16.0,C2_fetch_on_fault,0,5099,4020,1079,1079,0.78839,394,685,835,3185,0.21161
full,C,belady_pin_same_state,0.25,16,1285,321,3.997,C3_pin_protected_plus_min_dynamics,0,5099,3056,2043,1079,0.599333,1042,1001,187,2869,0.400667
full,C,belady_pin_same_state,0.5,16,1285,642,7.994,C3_pin_protected_plus_min_dynamics,0,5099,3377,1722,1079,0.662287,821,901,408,2969,0.337713
full,C,belady_pin_same_state,0.75,16,1285,963,11.99,C3_pin_protected_plus_min_dynamics,0,5099,3698,1401,1079,0.72524,716,685,513,3185,0.27476
full,C,belady_pin_same_state,0.9,16,1285,1156,14.394,C3_pin_protected_plus_min_dynamics,0,5099,3891,1208,1079,0.763091,523,685,706,3185,0.236909
full,C,belady_pin_same_state,0.99,16,1285,1272,15.838,C3_pin_protected_plus_min_dynamics,0,5099,4007,1092,1079,0.78584,407,685,822,3185,0.21416
full,A,lru,,20,1606,0,0.0,A_online,0,5099,2668,2431,825,0.52324,1229,1202,0,2668,0.47676
full,A,engine_priority_lru,,20,1606,0,0.0,A_online,0,5099,2227,2872,1266,0.436752,1229,1643,0,2227,0.563248
full,A,arc,,20,1606,0,0.0,A_online,0,5099,2663,2436,830,0.522259,1229,1207,0,2663,0.477741
full,A,lfu,,20,1606,0,0.0,A_online,0,5099,2668,2431,825,0.52324,1229,1202,0,2668,0.47676
full,A,freq_x_recency,,20,1606,0,0.0,A_online,0,5099,2668,2431,825,0.52324,1229,1202,0,2668,0.47676
full,A,layer_lru,,20,1606,0,0.0,A_online,0,5099,2641,2458,868,0.517945,1229,1229,0,2641,0.482055
full,A,cost_aware,,20,1606,0,0.0,A_online,0,5099,2668,2431,825,0.52324,1229,1202,0,2668,0.47676
full,A,belady_cold,,20,1606,0,0.0,A_online,0,5099,2735,2364,758,0.53638,1229,1135,0,2735,0.46362
full,B,freq_lru_warmup,0.5,20,1606,0,0.0,B_causal_warmup,0,5099,2655,2444,838,0.52069,1229,1215,0,2655,0.47931
full,B,freq_lru_warmup_s4,0.5,20,1606,0,0.0,B_causal_warmup,0,5099,2676,2423,817,0.524809,1229,1194,0,2676,0.475191
full,C,static_freq_prewarm,,20,1606,1606,19.997,C1_bypass_fixed_set,0,5099,4341,758,0,0.851343,73,685,1156,3185,0.148657
full,C,static_layer_freq_prewarm,,20,1606,1590,19.797,C1_bypass_fixed_set_layer_budgeted,0,5099,4325,774,0,0.848206,137,637,1092,3233,0.151794
full,C,freq_lru_prewarm,0.25,20,1606,401,4.993,C3_pin_protected_plus_lru_remainder,0,5099,3082,2017,812,0.604432,969,1048,260,2822,0.395568
full,C,freq_lru_prewarm,0.5,20,1606,803,9.998,C3_pin_protected_plus_lru_remainder,0,5099,3538,1561,758,0.693862,744,817,485,3053,0.306138
full,C,freq_lru_prewarm,0.75,20,1606,1204,14.991,C3_pin_protected_plus_lru_remainder,0,5099,3939,1160,758,0.772504,475,685,754,3185,0.227496
full,C,freq_lru_prewarm,0.9,20,1606,1445,17.992,C3_pin_protected_plus_lru_remainder,0,5099,4180,919,758,0.819769,234,685,995,3185,0.180231
full,C,freq_lru_prewarm,0.99,20,1606,1589,19.785,C3_pin_protected_plus_lru_remainder,0,5099,4324,775,758,0.848009,90,685,1139,3185,0.151991
